gene,DoTT_by_Readout,log2FC_4sU,Upregulated,DEstatus.2
SRSF2,TRUE,-0.7897718921738028,FALSE,FALSE
PRPSAP1,FALSE,-2.068867497538376,FALSE,FALSE
ZNF77,FALSE,0.7335294355883596,FALSE,FALSE
LINC00909,TRUE,-1.5843604998608085,FALSE,FALSE
ACOX1,FALSE,-0.523149226819213,FALSE,FALSE
GNG2,FALSE,-2.0182001788132253,FALSE,FALSE
ZNF594,FALSE,-2.3339688669419134,FALSE,FALSE
AIDA,FALSE,-2.2963670672335676,FALSE,FALSE
GPT2,FALSE,-2.2871626767266857,FALSE,FALSE
GRIN2C,TRUE,6.202613620148487,TRUE,TRUE
ZNF286A,FALSE,-2.2073820156092547,FALSE,FALSE
SAP30BP,TRUE,0.1864462018074528,FALSE,FALSE
BRD7,FALSE,-1.9429354931191294,FALSE,FALSE
FDXR,TRUE,2.0485482793518157,TRUE,TRUE
FAM136A,FALSE,-3.9805476373338275,FALSE,FALSE
SUGP2,TRUE,-2.192392010546766,FALSE,FALSE
SARM1,FALSE,-0.6508817200838992,FALSE,FALSE
POLDIP2,TRUE,-1.6930327799287905,FALSE,FALSE
RP11-325F22.5,TRUE,2.777297688201424,TRUE,TRUE
ALG1,FALSE,-2.1536328783607153,FALSE,FALSE
PHF21A,FALSE,-1.068346105515045,FALSE,FALSE
PRR5L,TRUE,-2.248363000202707,FALSE,FALSE
TIRAP,TRUE,-1.9400894284995975,FALSE,FALSE
ZFAND2B,FALSE,-3.5265058035399726,FALSE,FALSE
CAPRIN1,TRUE,-2.523463584896735,FALSE,FALSE
CNN2,FALSE,-3.247143734152589,FALSE,FALSE
MRPL14,TRUE,-1.8383094546207224,FALSE,FALSE
NAT10,TRUE,-0.11399372624460523,FALSE,FALSE
RP11-774O3.3,TRUE,1.3717117911483887,TRUE,TRUE
RP11-206L10.5,FALSE,-1.6235676877584622,FALSE,FALSE
MGLL,TRUE,-2.908945229291975,FALSE,FALSE
CTD-2196E14.9,FALSE,-0.1277555471983727,FALSE,FALSE
ZNF625,FALSE,-2.957116826581212,FALSE,FALSE
ATP2C1,TRUE,-2.0970356769586265,FALSE,FALSE
TNIK,TRUE,1.810966175609983,TRUE,TRUE
CPSF3,FALSE,-1.7539517058929828,FALSE,FALSE
RP11-539L10.3,TRUE,-2.154057283870383,FALSE,FALSE
G6PD,FALSE,-1.9129414966761078,FALSE,FALSE
UPK3BL,FALSE,-2.0157648188071375,FALSE,FALSE
NCKAP5L,TRUE,0.04643402569581706,FALSE,FALSE
SH3YL1,TRUE,-3.1722463133524332,FALSE,FALSE
EVI5,TRUE,-1.2472755952034418,FALSE,FALSE
PGBD4,FALSE,-3.2162186537162474,FALSE,FALSE
URGCP-MRPS24,FALSE,-2.044674241436263,FALSE,FALSE
RHEBL1,FALSE,3.687821313726891,TRUE,FALSE
TUBA1C,TRUE,-2.483798912559037,FALSE,FALSE
TUBA1A,FALSE,-4.4571488728431765,FALSE,FALSE
GUCA2A,FALSE,8.474111513942407,TRUE,FALSE
RP11-598F7.6,TRUE,4.227805917522812,TRUE,TRUE
LRRC8E,FALSE,-3.7058430766704253,FALSE,FALSE
KMT2D,FALSE,-0.49521757884038226,FALSE,FALSE
PTK2,TRUE,-0.35048932543313366,FALSE,FALSE
FOXN2,TRUE,-3.3982523423033313,FALSE,FALSE
LALBA,TRUE,8.116863757690899,TRUE,TRUE
COL6A3,FALSE,-5.33717387503384,FALSE,FALSE
CACNB3,FALSE,-3.3458590007154454,FALSE,FALSE
ZNF641,FALSE,-3.5874477641107503,FALSE,FALSE
PIKFYVE,TRUE,-1.325044953883181,FALSE,FALSE
ZBTB8A,FALSE,-2.064907262874982,FALSE,FALSE
ATAD3B,FALSE,-1.017739163866094,FALSE,FALSE
SSU72,FALSE,-1.8748369646904155,FALSE,FALSE
SUCLG1,TRUE,-1.9712936284341849,FALSE,FALSE
UBE2J2,TRUE,-1.0638316118692355,FALSE,FALSE
ETV5,FALSE,-1.8659424777346862,FALSE,FALSE
ZNF362,FALSE,-4.252280632283303,FALSE,FALSE
LSM12,TRUE,-2.197455683167116,FALSE,FALSE
SIRT7,FALSE,-1.7134908803323006,FALSE,FALSE
MPP3,TRUE,-0.9570452710791666,FALSE,FALSE
PDE8A,TRUE,-1.3230703713056178,FALSE,FALSE
PNP,TRUE,-0.8598073200592797,FALSE,FALSE
LA16c-OS12.2,TRUE,3.5491617792933097,TRUE,TRUE
NUDC,FALSE,-1.4498106053961906,FALSE,FALSE
GLB1L,TRUE,2.0137564335806677,TRUE,TRUE
RP11-1060J15.7,TRUE,7.499845887083206,TRUE,TRUE
AL590452.1,TRUE,0.6849039385950628,FALSE,FALSE
SGOL2,FALSE,-1.4556567482364662,FALSE,FALSE
ARHGEF9,TRUE,-2.620246392764494,FALSE,FALSE
CFB,FALSE,4.2190644036186935,TRUE,FALSE
EDA2R,TRUE,-1.4625792418509245,FALSE,FALSE
FAM222B,FALSE,-1.6346991467780336,FALSE,FALSE
MBTPS2,TRUE,-2.907469874893912,FALSE,FALSE
PPP1R12A,TRUE,-1.3053250511366628,FALSE,FALSE
ANKZF1,FALSE,-2.697288007349923,FALSE,FALSE
CWC22,TRUE,-1.7225450784200351,FALSE,FALSE
VMA21,FALSE,-4.236394492549542,FALSE,FALSE
SNX13,TRUE,-0.8420089910852888,FALSE,FALSE
RP11-321N4.5,FALSE,-0.11880941174221023,FALSE,FALSE
GRINA,FALSE,-2.0421356367361416,FALSE,FALSE
EFNB1,FALSE,-0.8779894697273349,FALSE,FALSE
XXbac-BPGBPG55C20.3,TRUE,4.050185757168217,TRUE,TRUE
CWC15,TRUE,-2.3416650142663356,FALSE,FALSE
TMEM161A,FALSE,-2.061247188826541,FALSE,FALSE
POLR3C,FALSE,-1.4763880162002936,FALSE,FALSE
BCAT1,FALSE,-3.9277883080737026,FALSE,FALSE
NELFA,TRUE,-0.9808630128917679,FALSE,FALSE
RP4-564F22.5,TRUE,1.447138342445868,TRUE,TRUE
CNOT11,FALSE,-3.7282110373378674,FALSE,FALSE
SSC5D,FALSE,-2.1002416657553082,FALSE,FALSE
ZHX2,FALSE,-1.4694285189235345,FALSE,FALSE
ZFP3,TRUE,-1.5722724130438355,FALSE,FALSE
DBF4B,FALSE,0.133483005474252,FALSE,FALSE
MITD1,TRUE,-1.8736060038964462,FALSE,FALSE
RP11-159G9.5,FALSE,0.5993544828819443,FALSE,FALSE
TMEM119,FALSE,-0.7412181986923636,FALSE,FALSE
ZFP41,FALSE,-3.0150975928098998,FALSE,FALSE
EIF5B,TRUE,-1.024624754295076,FALSE,FALSE
RP11-1035H13.3,FALSE,-0.4927114949758706,FALSE,FALSE
RHBDD2,FALSE,-3.0342403244184326,FALSE,FALSE
KMT2E,FALSE,-0.5627355532805922,FALSE,FALSE
LINC00384,TRUE,4.655585482356832,TRUE,TRUE
CIPC,FALSE,-2.979501004361741,FALSE,FALSE
RP11-343C2.9,FALSE,-2.3701917607074674,FALSE,FALSE
ING3,TRUE,-3.2864501995326463,FALSE,FALSE
CROT,TRUE,-1.2769997778665514,FALSE,FALSE
HIST1H2BN,TRUE,-2.4774937643057164,FALSE,FALSE
HAUS7,FALSE,-2.6400038642791177,FALSE,FALSE
DCAF4,TRUE,-1.9204450820742258,FALSE,FALSE
YLPM1,FALSE,-0.5528702819606882,FALSE,FALSE
RLN3,TRUE,7.187846909439575,TRUE,TRUE
TAS2R31,FALSE,-1.0353161128997226,FALSE,FALSE
ZNF319,FALSE,-4.927622037192605,FALSE,FALSE
FOPNL,TRUE,-2.919518203936268,FALSE,FALSE
C5orf24,FALSE,-2.970130974248898,FALSE,FALSE
CNTF,FALSE,1.3127978640360038,TRUE,FALSE
AP000265.1,TRUE,4.597385000526483,TRUE,TRUE
STK36,TRUE,-0.8535985516128104,FALSE,FALSE
RNF25,FALSE,-2.5097117820482455,FALSE,FALSE
INSR,TRUE,-2.0215426187132746,FALSE,FALSE
IQCC,FALSE,-0.6041888596207684,FALSE,FALSE
BSDC1,FALSE,-2.081701732081583,FALSE,FALSE
TMEM234,FALSE,-1.0490759916974262,FALSE,FALSE
CCDC28B,FALSE,0.16036205865496259,FALSE,FALSE
DFFA,FALSE,-2.7400391556004604,FALSE,FALSE
ARPC2,FALSE,-2.9453613877096974,FALSE,FALSE
SCYL1,FALSE,-3.047225265604138,FALSE,FALSE
ITFG1,TRUE,-1.0905437190971947,FALSE,FALSE
PPP4R1,TRUE,-2.474001734042355,FALSE,FALSE
RNF10,TRUE,-1.192801720654452,FALSE,FALSE
RP11-512M8.5,FALSE,-1.0391729452929344,FALSE,FALSE
NDN,FALSE,-6.943686951597095,FALSE,FALSE
CXXC1,FALSE,-1.1867959807852078,FALSE,FALSE
SKA1,TRUE,-4.290152719332497,FALSE,FALSE
TMEM136,FALSE,-3.7301604162610915,FALSE,FALSE
SGPP1,FALSE,-2.8946531816888785,FALSE,FALSE
PLEKHG3,TRUE,-0.05151294083789192,FALSE,FALSE
RP11-158L12.5,TRUE,4.776103988073165,TRUE,TRUE
TRMT5,FALSE,-4.136598035009446,FALSE,FALSE
APCDD1,FALSE,-4.033552559711026,FALSE,FALSE
HSPA2,TRUE,1.4616919785468745,TRUE,TRUE
ZBTB1,TRUE,-2.4264117719588403,FALSE,FALSE
RP11-788A4.1,TRUE,6.661065479806948,TRUE,TRUE
FCF1,TRUE,-1.8246103690897597,FALSE,FALSE
MPPE1,FALSE,-2.896455142942208,FALSE,FALSE
DHX57,FALSE,-1.4705810066544311,FALSE,FALSE
CTD-2140B24.4,FALSE,0.9041938485632386,FALSE,FALSE
CCDC14,FALSE,-4.310642287340848,FALSE,FALSE
OMP,FALSE,0.2742751192959463,FALSE,FALSE
CUEDC1,FALSE,-2.375866901998166,FALSE,FALSE
CDC42BPB,FALSE,-2.8197849489079463,FALSE,FALSE
MSC,FALSE,-3.0097526834809574,FALSE,FALSE
CDYL,FALSE,-3.3583134418241736,FALSE,FALSE
RP11-361F15.2,TRUE,0.6697124705747977,FALSE,FALSE
KIF4A,TRUE,-1.7060304672016071,FALSE,FALSE
PNKP,FALSE,-1.8705403602708577,FALSE,FALSE
POLR3K,FALSE,-1.5813312502742876,FALSE,FALSE
SNRNP25,FALSE,-2.060541541935051,FALSE,FALSE
CCNJL,TRUE,-1.3812680735918914,FALSE,FALSE
FAM179B,FALSE,-1.8527842374641739,FALSE,FALSE
JMJD8,FALSE,-1.3431384404803546,FALSE,FALSE
WDR90,FALSE,-2.5162896454187798,FALSE,FALSE
ADAM19,FALSE,-3.6920129114048623,FALSE,FALSE
ZMYM1,TRUE,-1.612410558908647,FALSE,FALSE
GPBP1,TRUE,-0.6044473913179066,FALSE,FALSE
PSMG4,TRUE,-0.5252768417331435,FALSE,FALSE
ST6GALNAC4,FALSE,-2.320145889545353,FALSE,FALSE
DAB2IP,FALSE,-3.4432861818886105,FALSE,FALSE
ZNF439,TRUE,0.5896289038435727,FALSE,FALSE
STXBP1,FALSE,-0.9501195309090227,FALSE,FALSE
ANGPTL2,FALSE,-3.0708472536342963,FALSE,FALSE
CDK5RAP2,FALSE,-1.121177967307911,FALSE,FALSE
ESYT2,TRUE,-1.5630500119953261,FALSE,FALSE
TLR4,FALSE,-4.8604056932460304,FALSE,FALSE
SLC31A2,TRUE,-1.1298561248938468,FALSE,FALSE
SLC31A1,TRUE,-2.9599143318018735,FALSE,FALSE
ZNF440,TRUE,0.3707017779871833,FALSE,FALSE
ZFP37,TRUE,-2.0609780068361307,FALSE,FALSE
LTB4R2,FALSE,0.00261121345653783,FALSE,FALSE
ZNF154,FALSE,-2.38160327154731,FALSE,FALSE
ZNF189,TRUE,-2.185291011306139,FALSE,FALSE
USP20,TRUE,-1.332507445958037,FALSE,FALSE
STX17,FALSE,-0.3084683345502922,FALSE,FALSE
PRPF4,TRUE,-0.955794821412262,FALSE,FALSE
FPGS,FALSE,-2.6054943338525085,FALSE,FALSE
CDK9,FALSE,-3.0782072914781944,FALSE,FALSE
CDCA2,TRUE,-0.3985854777111936,FALSE,FALSE
LRRC8A,FALSE,-2.9828686703761025,FALSE,FALSE
CSNK2A3,FALSE,-1.3471221770466126,FALSE,FALSE
CSDE1,FALSE,-1.9102412344966972,FALSE,FALSE
TOR1B,TRUE,-1.74555620798513,FALSE,FALSE
C9orf78,FALSE,-3.030940475129228,FALSE,FALSE
ZNF784,FALSE,-2.5828881724832975,FALSE,FALSE
ODF2,FALSE,-1.87537752074239,FALSE,FALSE
TXN,FALSE,-4.155811062577045,FALSE,FALSE
KIAA0368,TRUE,-2.156423746108048,FALSE,FALSE
DAZAP2,FALSE,-3.692013767295864,FALSE,FALSE
TOR1A,TRUE,-4.008707263444738,FALSE,FALSE
KLF4,FALSE,-4.021411717461781,FALSE,FALSE
SMC2,TRUE,-2.686651852658052,FALSE,FALSE
CTD-2006C1.10,FALSE,-0.092066617905251,FALSE,FALSE
FIZ1,TRUE,-2.0170735133589415,FALSE,FALSE
NDUFB10,FALSE,-3.496235914529814,FALSE,FALSE
PDPK1,TRUE,-0.268386241846647,FALSE,FALSE
TIGD7,TRUE,-2.477445672508649,FALSE,FALSE
FAM129B,FALSE,-3.5073354891152526,FALSE,FALSE
LRRK1,TRUE,-0.8617478768147617,FALSE,FALSE
DEF8,TRUE,-1.1015709831396776,FALSE,FALSE
RHOT2,FALSE,-1.3249343369438635,FALSE,FALSE
RP11-29B2.5,FALSE,3.6515872326086236,TRUE,FALSE
RPS2,FALSE,-0.19639105676621413,FALSE,FALSE
ZSCAN32,TRUE,-2.57690446235829,FALSE,FALSE
PGF,TRUE,1.1941429445322744,TRUE,TRUE
IFI27L2,FALSE,-3.857462692610451,FALSE,FALSE
IGFBP6,FALSE,-3.117079467264558,FALSE,FALSE
SPRYD3,FALSE,-2.938677665025567,FALSE,FALSE
LDLRAD3,TRUE,-1.7547690202481645,FALSE,FALSE
ATHL1,FALSE,-2.528600058102043,FALSE,FALSE
ACYP1,TRUE,-1.8950304403984575,FALSE,FALSE
RP11-74E22.6,TRUE,-0.47766110544840484,FALSE,FALSE
NEK9,TRUE,-2.2880448338599098,FALSE,FALSE
SATB2,FALSE,0.6237245358726828,FALSE,FALSE
GTF3C3,TRUE,-0.5201460477984774,FALSE,FALSE
KRT80,FALSE,-4.306545062187977,FALSE,FALSE
OSGIN1,FALSE,-1.1112833335337446,FALSE,FALSE
ACTB,FALSE,-2.613176707048828,FALSE,FALSE
TLDC1,FALSE,-2.8933528304625016,FALSE,FALSE
JUNB,FALSE,-3.3359725364836357,FALSE,FALSE
DNAL1,TRUE,-1.2388324791238998,FALSE,FALSE
NPC2,FALSE,-2.644679447068603,FALSE,FALSE
DUX4L7,FALSE,5.523561956057013,TRUE,FALSE
ATP6V1G1,TRUE,-3.4809225163657986,FALSE,FALSE
ACOT2,FALSE,-3.0428647064717778,FALSE,FALSE
MAP1LC3B,TRUE,-0.6462074064573864,FALSE,FALSE
MBTPS1,TRUE,-2.8386757603332122,FALSE,FALSE
